Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
ARGYR4,,×Argyrautia Sherff,arhyrautia,US15
ARDE4,,×Argyrautia degeneri Sherff [Arygroxiphium grayanum × Dubautia laxa],Degener's argyrautia,US15
CITRO,,×Citrofortunella J.W. Ingram & H.E. Moore [Citrus × Fortunella],,US70
CIMI4,,×Citrofortunella microcarpa (Bunge) Wijnands [Citrus reticulata × Fortunella japonica],calamondin,US66
CIMI4,,×Citrofortunella microcarpa (Bunge) Wijnands [Citrus reticulata × Fortunella japonica],calamondin,US70
CIMI4,CIMA9,Citrus madurensis auct. non Lour.,,US70
CIMI4,CIMA9,Citrus madurensis auct. non Lour.,,US66
CIMI4,CIMI2,×Citrofortunella mitis (Blanco) J.W. Ingram & H.E. Moore,,US70
CIMI4,CIMI2,×Citrofortunella mitis (Blanco) J.W. Ingram & H.E. Moore,,US66
CIMI4,CIMI3,Citrus mitis Blanco,,US70
CIMI4,CIMI3,Citrus mitis Blanco,,US66
LINDS2,,×Lindsaeosoria W.H. Wagner,lindsaeosoria,US15
LIFL8,,×Lindsaeosoria flynnii W.H. Wagner [Lindsaea ensifolia × Odontosoria chinensis],lindsaeosoria,US15
ABELM,,Abelmoschus Medik.,okra,US70
ABELM,,Abelmoschus Medik.,okra,US15
ABELM,,Abelmoschus Medik.,okra,US72
ABELM,,Abelmoschus Medik.,okra,US78
ABES,,Abelmoschus esculentus (L.) Moench,okra,US66
ABES,,Abelmoschus esculentus (L.) Moench,okra,US70
ABES,,Abelmoschus esculentus (L.) Moench,okra,US72
ABES,HIES,Hibiscus esculentus L.,,US70
ABES,,Abelmoschus esculentus (L.) Moench,okra,US78
ABES,HIES,Hibiscus esculentus L.,,US72
ABES,HIES,Hibiscus esculentus L.,,US66
ABES,HIES,Hibiscus esculentus L.,,US78
ABMA9,,Abelmoschus manihot (L.) Medik. [excluded],,US66
ABMA9,HIMA9,Hibiscus manihot L.,,US70
ABMA9,HIMA9,Hibiscus manihot L.,,US66
ABMA9,,Abelmoschus manihot (L.) Medik. [excluded],,US70
ABMO,,Abelmoschus moschatus Medik.,musk okra,US70
ABMO,,Abelmoschus moschatus Medik.,musk okra,US15
ABMO,HIAB,Hibiscus abelmoschus L.,,US70
ABMO,,Abelmoschus moschatus Medik.,musk okra,US66
ABMO,HIAB,Hibiscus abelmoschus L.,,US15
ABMO,HIAB,Hibiscus abelmoschus L.,,US66
ABMO,HIAB,Hibiscus abelmoschus L.,,US72
ABMO,,Abelmoschus moschatus Medik.,musk okra,US72
ABILD,,Abildgaardia Vahl,sedge,US72
ABILD,,Abildgaardia Vahl,sedge,US70
ABILD,,Abildgaardia Vahl,sedge,US78
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,US66
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,US70
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,US78
ABOV,CYMO10,Cyperus monostachyos L.,,US72
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,US72
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,US70
ABOV,CYMO10,Cyperus monostachyos L.,,US70
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,US66
ABOV,,Abildgaardia ovata (Burm. f.) Kral,flatspike sedge,US78
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,US66
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,US72
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,US72
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,US66
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,US78
ABOV,ABMO4,Abildgaardia monostachya (L.) Vahl,,US72
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,US78
ABOV,CYMO10,Cyperus monostachyos L.,,US66
ABOV,CYMO10,Cyperus monostachyos L.,,US78
ABOV,FIMO2,Fimbristylis monostachya (L.) Hassk.,,US70
ABOV,FIOV,Fimbristylis ovata (Burm. f.) J. Kern,,US70
ABROM,,Abroma Jacq.,,US70
ABROM,AMBRO2,"Ambroma L. f., orth. var.",,US70
ABAU3,,Abroma augustum (L.) L. f.,devil's-cotton,US66
ABAU3,ABAU2,"Abroma augusta (L.) L. f., orth. var.",,US70
ABAU3,ABAU2,"Abroma augusta (L.) L. f., orth. var.",,US66
ABAU3,,Abroma augustum (L.) L. f.,devil's-cotton,US70
ABAU3,AMAU4,"Ambroma augusta (L.) L. f., orth. var.",,US66
ABAU3,AMAU5,"Ambroma augustum (L.) L. f., orth. var.",,US66
ABAU3,AMAU5,"Ambroma augustum (L.) L. f., orth. var.",,US70
ABAU3,AMAU4,"Ambroma augusta (L.) L. f., orth. var.",,US70
ABRUS,,Abrus Adans.,abrus,US70
ABRUS,,Abrus Adans.,abrus,US78
ABRUS,,Abrus Adans.,abrus,US15
ABRUS,,Abrus Adans.,abrus,US72
ABPR3,,Abrus precatorius L.,rosarypea,US70
ABPR3,,Abrus precatorius L.,rosarypea,US15
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,US66
ABPR3,,Abrus precatorius L.,rosarypea,US66
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,US78
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,US70
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,US72
ABPR3,,Abrus precatorius L.,rosarypea,US72
ABPR3,,Abrus precatorius L.,rosarypea,US78
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,US15
ABUTI,,Abutilon Mill.,Indian mallow,US70
ABUTI,,Abutilon Mill.,Indian mallow,US69
ABUTI,,Abutilon Mill.,Indian mallow,US15
ABUTI,,Abutilon Mill.,Indian mallow,US78
ABUTI,,Abutilon Mill.,Indian mallow,US72
ABUTI,,Abutilon Mill.,Indian mallow,US74
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,,US72
ABAB,ABAM5,Abutilon americanum (L.) Sweet,,US72
ABAB,ABLI,Abutilon lignosum (Cav.) G. Don,,US78
ABAB,,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,US72
ABAB,ABJA,Abutilon jacquinii G. Don,,US72
ABAB,,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,shrubby Indian mallow,US78
ABAB,ABAM5,Abutilon americanum (L.) Sweet,,US78
ABAB,ABJA,Abutilon jacquinii G. Don,,US78
ABAU,,Abutilon auritum (Wall. ex Link) Sweet,Asian Indian mallow,US15
ABER,,Abutilon eremitopetalum Caum,hiddenpetal Indian mallow,US15
ABGR3,,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow,US74
ABGR3,,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow,US15
ABGR3,,Abutilon grandifolium (Willd.) Sweet,hairy Indian mallow,US66
ABHI,,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,US78
ABHI,,Abutilon hirtum (Lam.) Sweet,Florida Keys Indian mallow,US72
ABHU,,Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray,mauve,US72
ABHU,ABPA4,Abutilon pauciflorum Sweet,,US72
ABHU,ABCO2,Abutilon commutatum auct. non K. Schum.,,US72
ABIN,ABPR4,Abutilon pringlei Hochr.,,US15
ABIN,,Abutilon incanum (Link) Sweet,pelotazo,US15
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,,US15
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,,US15
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,US69
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,US15
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,US72
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,US74
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,US70
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,US66
ABIN3,,Abutilon indicum (L.) Sweet,monkeybush,US78
ABINA,,Abutilon indicum (L.) Sweet ssp. albescens (Miq.) Borss. Waalk.,,US69
ABINA,,Abutilon indicum (L.) Sweet ssp. albescens (Miq.) Borss. Waalk.,,US66
ABINA,,Abutilon indicum (L.) Sweet ssp. albescens (Miq.) Borss. Waalk.,,US74
ABINA,ABASA,Abutilon asiaticum (L.) Sweet var. albescens (Miq.) Fosberg,,US69
ABINA,ABASA,Abutilon asiaticum (L.) Sweet var. albescens (Miq.) Fosberg,,US66
ABINA,ABASA,Abutilon asiaticum (L.) Sweet var. albescens (Miq.) Fosberg,,US74
ABME2,,Abutilon menziesii Seem.,ko'oloa 'ula,US15
ABPE,,Abutilon permolle (Willd.) Sweet,coastal Indian mallow,US72
ABSA2,ABSAW,Abutilon sandwicense (O. Deg.) Christoph. var. welchii Christoph.,,US15
ABSA2,,Abutilon sandwicense (O. Deg.) Christoph.,greenflower Indian mallow,US15
ABSA2,ABSA4,Abortopetalum sandwicense O. Deg.,,US15
ACACI,,Acacia Mill.,acacia,US15
ACACI,,Acacia Mill.,acacia,US70
ACAN10,,Acacia aneura F. Muell. ex Benth.,mulga,US15
ACAU,,Acacia auriculiformis A. Cunn. ex Benth.,earleaf acacia,US66
ACAU,,Acacia auriculiformis A. Cunn. ex Benth.,earleaf acacia,US70
ACCO,,Acacia confusa Merr.,small Philippine acacia,US70
ACCO,,Acacia confusa Merr.,small Philippine acacia,US15
ACCO,,Acacia confusa Merr.,small Philippine acacia,US66
ACKO,,Acacia koa A. Gray,koa,US15
ACKO,ACKOH,Acacia koa A. Gray var. hawaiiensis Rock,,US15
ACKO,ACKOL,Acacia koa A. Gray var. lanaiensis Rock,,US15
ACKO,ACKA,Acacia kauaiensis Hillebr.,,US15
ACKO,ACKOW,Acacia koa A. Gray var. waimeae Hochr.,,US15
ACKO2,,Acacia koaia Hillebr.,koaoha,US15
ACME80,,Acacia mearnsii De Wild.,black wattle,US15
ACME80,ACDEM,Acacia decurrens (Wendl. f.) Willd. var. mollis Lindl.,,US15
ACME,,Acacia melanoxylon R. Br.,blackwood,US15
ACPA81,,Acacia parramattensis Tindale,South Wales wattle,US15
ACAEN,,Acaena Mutis ex L.,acaena,US15
ACEX,,Acaena exigua A. Gray,liliwai,US15
ACEX,ACEXG,Acaena exigua A. Gray var. glaberrima Bitter,,US15
ACEX,ACEXG2,Acaena exigua A. Gray var. glabriuscula Bitter,,US15
ACEX,ACEXS,Acaena exigua A. Gray var. subtusstrigulosa Bitter,,US15
ACALY,,Acalypha L.,copperleaf,US69
ACALY,,Acalypha L.,copperleaf,US60
ACALY,,Acalypha L.,copperleaf,US70
ACALY,,Acalypha L.,copperleaf,US74
ACALY,,Acalypha L.,copperleaf,US64
ACALY,,Acalypha L.,copperleaf,US66
ACALY,,Acalypha L.,copperleaf,US72
ACALY,,Acalypha L.,copperleaf,US78
ACAL2,,Acalypha alopecuroidea Jacq.,foxtail copperleaf,US72
ACAL2,ACAR17,Acalypha aristata Kunth,,US72
ACAM2,,Acalypha amentacea Roxb.,catch me if you can,US70
ACAMH,,Acalypha amentacea Roxb. var. heterotricha Fosberg,,US66
ACAMH,,Acalypha amentacea Roxb. var. heterotricha Fosberg,,US70
ACAMP2,,Acalypha amentacea Roxb. var. palauensis Fosberg,,US66
ACAMP2,,Acalypha amentacea Roxb. var. palauensis Fosberg,,US70
ACBE2,,Acalypha berteriana Müll. Arg.,Guayama Copperleaf,US72
ACBI3,,Acalypha bisetosa Bertol. ex Spreng.,streambank copperleaf,US72
ACCH2,,Acalypha chamaedryfolia (Lam.) Müll. Arg.,bastard copperleaf,US72
ACCH2,,Acalypha chamaedryfolia (Lam.) Müll. Arg.,bastard copperleaf,US78
ACHI2,,Acalypha hispida Burm. f.,red-hot cat's tail,US70
ACHI2,,Acalypha hispida Burm. f.,red-hot cat's tail,US66
ACHI2,,Acalypha hispida Burm. f.,red-hot cat's tail,US72
ACIN12,,Acalypha indica L.,Indian acalypha,US69
ACIN12,,Acalypha indica L.,Indian acalypha,US66
ACIN12,,Acalypha indica L.,Indian acalypha,US70
ACIN12,,Acalypha indica L.,Indian acalypha,US74
ACLA9,,Acalypha lanceolata Willd.,,US70
ACLA9,,Acalypha lanceolata Willd.,,US64
ACLA9,,Acalypha lanceolata Willd.,,US60
ACLA9,,Acalypha lanceolata Willd.,,US66
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,US72
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,US78
ACOS,ACCA8,Acalypha caroliniana Elliott,,US72
ACOS,ACCA8,Acalypha caroliniana Elliott,,US78
ACPO,ACIN,"Acalypha indica Vell., non L.",,US72
ACPO,,Acalypha poiretii Spreng.,Poiret's copperleaf,US72
ACPO,,Acalypha poiretii Spreng.,Poiret's copperleaf,US78
ACPO,ACIN,"Acalypha indica Vell., non L.",,US78
ACPO4,,Acalypha portoricensis Müll. Arg.,Puerto Rico copperleaf,US72
ACPO4,,Acalypha portoricensis Müll. Arg.,Puerto Rico copperleaf,US78
ACSE,,Acalypha setosa A. Rich.,Cuban copperleaf,US72
ACWI,,Acalypha wilkesiana Müll. Arg.,Wilkes' acalypha,US66
ACWI,,Acalypha wilkesiana Müll. Arg.,Wilkes' acalypha,US72
ACWI,ACAMW,Acalypha amentacea Roxb. ssp. wilkesiana (Müll. Arg.) Fosberg,,US72
ACWI,,Acalypha wilkesiana Müll. Arg.,Wilkes' acalypha,US70
ACWI,ACAMW,Acalypha amentacea Roxb. ssp. wilkesiana (Müll. Arg.) Fosberg,,US70
ACWI,ACAMW,Acalypha amentacea Roxb. ssp. wilkesiana (Müll. Arg.) Fosberg,,US66
ACANT6,,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus,US78
ACANT6,,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus,US15
ACTE4,ACPE5,Acanthocereus pentagonus (L.) Britton & Rose,,US15
ACTE4,ACFL3,Acanthocereus floridanus Small ex Britton & Rose,,US15
ACTE4,,Acanthocereus tetragonus (L.) Humm.,triangle cactus,US15
ACTE4,ACFL3,Acanthocereus floridanus Small ex Britton & Rose,,US78
ACTE4,CATE30,Cactus tetragonus L.,,US78
ACTE4,CATE30,Cactus tetragonus L.,,US15
ACTE4,,Acanthocereus tetragonus (L.) Humm.,triangle cactus,US78
ACTE4,CEPE4,Cereus pentagonus (L.) Haw.,,US15
ACTE4,ACPE5,Acanthocereus pentagonus (L.) Britton & Rose,,US78
ACTE4,CEPE4,Cereus pentagonus (L.) Haw.,,US78
ACANT3,,Acanthospermum Schrank,starbur,US78
ACANT3,,Acanthospermum Schrank,starbur,US15
ACANT3,,Acanthospermum Schrank,starbur,US72
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,US15
ACAU2,ACXA,Acanthospermum xanthioides DC.,,US15
ACAU2,MEAU,Melampodium australe Loefl.,,US15
ACHI,,Acanthospermum hispidum DC.,hispid starbur,US15
ACHI,,Acanthospermum hispidum DC.,hispid starbur,US72
ACHI,,Acanthospermum hispidum DC.,hispid starbur,US78
ACANT7,,Acanthus L.,acanthus,US70
ACEB3,ACILE,Acanthus ilicifolius L. var. ebracteatus (Vahl) Benoist,,US70
ACEB3,,Acanthus ebracteatus Vahl,acanthus,US70
ACEB3,,Acanthus ebracteatus Vahl,acanthus,US66
ACEB3,ACILE,Acanthus ilicifolius L. var. ebracteatus (Vahl) Benoist,,US66
ACHIL,,Achillea L.,yarrow,US15
ACMI2,,Achillea millefolium L.,common yarrow,US15
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,US15
ACMIM2,ACMA14,Achillea magna auct.,,US15
ACHYR2,,Achyranthes L.,chaff flower,US72
ACHYR2,,Achyranthes L.,chaff flower,US70
ACHYR2,,Achyranthes L.,chaff flower,US15
ACHYR2,,Achyranthes L.,chaff flower,US74
ACHYR2,,Achyranthes L.,chaff flower,US78
ACHYR2,,Achyranthes L.,chaff flower,USNI
ACAS,,Achyranthes aspera L.,devil's horsewhip,US78
ACAS,,Achyranthes aspera L.,devil's horsewhip,US70
ACAS,,Achyranthes aspera L.,devil's horsewhip,US72
ACAS,,Achyranthes aspera L.,devil's horsewhip,US15
ACAS,,Achyranthes aspera L.,devil's horsewhip,USNI
ACAS,ACCA37,Achyranthes canescens R. Br.,,US72
ACAS,ACCA37,Achyranthes canescens R. Br.,,US70
ACAS,ACCA37,Achyranthes canescens R. Br.,,US15
ACAS,ACCA37,Achyranthes canescens R. Br.,,USNI
ACAS,ACCA37,Achyranthes canescens R. Br.,,US78
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,US70
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,US66
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,US70
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,US15
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,US66
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,US72
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,US66
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,US15
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,US78
ACASA,,Achyranthes aspera L. var. aspera,devil's horsewhip,US78
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,US70
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,US72
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,US66
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,US15
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,US15
ACASA,ACIN4,Achyranthes indica (L.) Mill.,,US78
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,US78
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,,US72
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,US72
ACASA,CEIN6,Centrostachys indica (L.) Standl.,,US70
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,US70
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,US15
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,US66
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,US72
ACBI9,,Achyranthes bidentata Blume [excluded],,US66
ACBI9,,Achyranthes bidentata Blume [excluded],,US70
ACMU2,,Achyranthes mutica A. Gray,blunt chaff flower,US15
ACMU2,ACNE3,Achyranthes nelsonii H. St. John,,US15
ACSP3,,Achyranthes splendens Mart. ex Moq.,Maui chaff flower,US15
ACSP3,,Achyranthes splendens Mart. ex Moq.,Maui chaff flower,US74
ACSPA2,,Achyranthes splendens Mart. ex Moq. var. atollensis (H. St. John) Govaerts,,US74
ACSPA2,,Achyranthes splendens Mart. ex Moq. var. atollensis (H. St. John) Govaerts,,US66
ACSPA2,ACAT,Achyranthes atollensis H. St. John,,US74
ACSPA2,,Achyranthes splendens Mart. ex Moq. var. atollensis (H. St. John) Govaerts,,US15
ACSPA2,ACAT,Achyranthes atollensis H. St. John,,US66
ACSPA2,ACAT,Achyranthes atollensis H. St. John,,US15
ACSPR2,,Achyranthes splendens Mart. ex Moq. var. rotundata Hillebr.,Maui chaff flower,US15
ACSPR2,ACSPR,Achyranthes splendens Mart. ex Moq. var. reflecta Hillebr.,,US15
ACSPS,,Achyranthes splendens Mart. ex Moq. var. splendens,Maui chaff flower,US15
ACISA,,Acisanthera P. Br.,acisanthera,US72
ACQU,,Acisanthera quadrata Pers.,dustseed,US72
ACQU,ACAC4,"Acisanthera acisanthera (L.) Britton, nom. inval.",,US72
ACMEL,,Acmella Rich. ex Pers.,spotflower,US70
ACMEL,,Acmella Rich. ex Pers.,spotflower,US72
ACGR17,,Acmella grandiflora (Turcz.) R.K. Jansen,,US66
ACGR17,,Acmella grandiflora (Turcz.) R.K. Jansen,,US70
ACIO,,Acmella iodiscaea (A.H. Moore) R.K. Jansen,maluco,US72
ACIO,SPIO,Spilanthes iodiscaea A.H. Moore,,US72
ACPU,,Acmella pusilla (Hook. & Arn.) R.K. Jansen,dwarf spotflower,US72
ACPU,SPPU5,Spilanthes pusilla Hook. & Arn.,,US72
ACNIS,,Acnistus Schott,acnistus,US72
ACNIS,,Acnistus Schott,acnistus,US78
ACAR,DUAR4,Dunalia arborescens (L.) Sleumer,,US72
ACAR,,Acnistus arborescens (L.) Schltdl.,hollowheart,US78
ACAR,DUAR4,Dunalia arborescens (L.) Sleumer,,US78
ACAR,,Acnistus arborescens (L.) Schltdl.,hollowheart,US72
ACRIO,,Acriopsis Blume,,US70
ACLI9,,Acriopsis liliifolia (J. Koenig) Ormerod,lilyleaf acriopsis,US66
ACLI9,,Acriopsis liliifolia (J. Koenig) Ormerod,lilyleaf acriopsis,US70
ACLIL,,Acriopsis liliifolia  var. liliifolia,lilyleaf acriopsis,US70
ACLIL,,Acriopsis liliifolia  var. liliifolia,lilyleaf acriopsis,US66
ACROC,,Acrocomia Mart.,acrocomia,US78
ACROC,,Acrocomia Mart.,acrocomia,US72
ACME2,,Acrocomia media O.F. Cook,grugru palm,US78
ACME2,,Acrocomia media O.F. Cook,grugru palm,US72
ACROS,,Acrostichum L.,leatherfern,US64
ACROS,,Acrostichum L.,leatherfern,US69
ACROS,,Acrostichum L.,leatherfern,US15
ACROS,,Acrostichum L.,leatherfern,US70
ACROS,,Acrostichum L.,leatherfern,US66
ACROS,,Acrostichum L.,leatherfern,US72
ACROS,,Acrostichum L.,leatherfern,US78
ACAU3,,Acrostichum aureum L.,golden leatherfern,US78
ACAU3,,Acrostichum aureum L.,golden leatherfern,US15
ACAU3,,Acrostichum aureum L.,golden leatherfern,US66
ACAU3,,Acrostichum aureum L.,golden leatherfern,US72
ACAU3,,Acrostichum aureum L.,golden leatherfern,US70
ACDA,,Acrostichum danaeifolium Langsd. & Fisch.,inland leatherfern,US78
ACDA,,Acrostichum danaeifolium Langsd. & Fisch.,inland leatherfern,US72
ACDA,ACEX2,Acrostichum excelsum Maxon,,US72
ACDA,ACEX2,Acrostichum excelsum Maxon,,US78
ACSP13,,Acrostichum speciosum Willd.,,US64
ACSP13,,Acrostichum speciosum Willd.,,US69
ACSP13,,Acrostichum speciosum Willd.,,US66
ACSP13,,Acrostichum speciosum Willd.,,US70
ACTIN,,Actinostachys Wall.,actinostachys,US70
ACTIN,,Actinostachys Wall.,actinostachys,US64
ACDI13,,Actinostachys digitata (L.) Wall.,,US70
ACDI13,SCDI9,Schizaea digitata (L.) Sw.,,US70
ACDI13,SCDI9,Schizaea digitata (L.) Sw.,,US66
ACDI13,,Actinostachys digitata (L.) Wall.,,US66
ACIN13,,Actinostachys inopinata (Selling) C.F. Reed,,US66
ACIN13,,Actinostachys inopinata (Selling) C.F. Reed,,US70
ACSP14,,Actinostachys spirophylla (W. Troll) C.F. Reed,,US64
ACSP14,,Actinostachys spirophylla (W. Troll) C.F. Reed,,US70
ACSP14,,Actinostachys spirophylla (W. Troll) C.F. Reed,,US66
ADANS2,,Adansonia L.,adansonia,US72
ADDI3,,Adansonia digitata L.,baobab,US72
ADELI,,Adelia L.,wild lime,US78
ADELI,,Adelia L.,wild lime,US72
ADRI,RIRI,"Ricinella ricinella (L.) Britton & P. Wilson, nom. inval.",,US72
ADRI,,Adelia ricinella L.,wild lime,US72
ADRI,,Adelia ricinella L.,wild lime,US78
ADRI,RIRI,"Ricinella ricinella (L.) Britton & P. Wilson, nom. inval.",,US78
ADENA,,Adenanthera L.,beadtree,US78
ADENA,,Adenanthera L.,beadtree,US70
ADENA,,Adenanthera L.,beadtree,US15
ADENA,,Adenanthera L.,beadtree,US72
ADPA,,Adenanthera pavonina L.,red beadtree,US66
ADPA,,Adenanthera pavonina L.,red beadtree,US15
ADPA,,Adenanthera pavonina L.,red beadtree,US70
ADPA,,Adenanthera pavonina L.,red beadtree,US72
ADPA,,Adenanthera pavonina L.,red beadtree,US78
ADENO3,,Adenophorus Gaudich.,kihifern,US15
ADAB2,,Adenophorus ×abbottiae W.H. Wagner [hymenophylloides × tamariscinus],kihifern,US15
ADCA5,,Adenophorus ×carsonii T.A. Ranker [hymenophylloides × tripinnatifidus],kihifern,US15
ADAB,,Adenophorus abietinus (D.C. Eaton) K.A. Wilson,elegant kihifern,US15
ADEP,,Adenophorus epigaeus (Bishop) W.H. Wagner,Kauai kihifern,US15
ADEP,ADTAE,Adenophorus tamariscinus (Kaulf.) Hook. & Grev. var. epigaeus Bishop,,US15
ADHA,POHA14,Polypodium haalilioanum Brack.,,US15
ADHA,,Adenophorus haalilioanus (Brack.) K.A. Wilson,island kihifern,US15
ADHY,,Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.,filmy kihifern,US15
ADHY,AMHY3,Amphoradenium hymenophylloides (Kaulf.) Copeland,,US15
ADHY,POHY5,Polypodium hymenophylloides Kaulf.,,US15
ADMO3,ADTAM,Adenophorus tamariscinus (Kaulf.) Hook. & Grev. var. montanus (Hillebr.) Bishop,,US15
ADMO3,,Adenophorus montanus (Hillebr.) W.H. Wagner,Maui kihifern,US15
ADOA,GROA,Grammitis oahuensis Copeland,,US15
ADOA,,Adenophorus oahuensis (Copeland) Bishop,Oahu kihifern,US15
ADPE2,,Adenophorus periens Bishop,pendant kihifern,US15
ADPI,POSA24,Polypodium sarmentosum Brack.,,US15
ADPI,,Adenophorus pinnatifidus Gaudich.,graceful kihifern,US15
ADTA,AMTA4,Amphoradenium tamariscinum (Kaulf.) Copeland,,US15
ADTA,,Adenophorus tamariscinus (Kaulf.) Hook. & Grev.,wahini noho mauna,US15
ADTA,POTA4,Polypodium tamariscinum Kaulf.,,US15
ADTR2,,Adenophorus tripinnatifidus Gaudich.,royal kihifern,US15
ADENO7,,Adenosma R. Br.,,US70
ADENO7,,Adenosma R. Br.,,US64
ADJA,,Adenosma javanica (Blume) Koord.,Java adenosma,US70
ADJA,ADJA2,"Adenosma javanicum (Blume) Koord., orth. var.",,US66
ADJA,,Adenosma javanica (Blume) Koord.,Java adenosma,US64
ADJA,,Adenosma javanica (Blume) Koord.,Java adenosma,US66
ADJA,ADJA2,"Adenosma javanicum (Blume) Koord., orth. var.",,US70
ADJA,ADJA2,"Adenosma javanicum (Blume) Koord., orth. var.",,US64
ADENO4,,Adenostemma J.R. Forst. & G. Forst.,medicineplant,US70
ADENO4,,Adenostemma J.R. Forst. & G. Forst.,medicineplant,US72
ADENO4,,Adenostemma J.R. Forst. & G. Forst.,medicineplant,US15
ADENO4,,Adenostemma J.R. Forst. & G. Forst.,medicineplant,US78
ADLA4,,Adenostemma lanceolatum Miq.,,US70
ADLA4,,Adenostemma lanceolatum Miq.,,US66
ADLA2,ADVI2,Adenostemma viscosum J.R. Forst. & G. Forst.,,US66
ADLA2,,Adenostemma lavenia (L.) Kuntze,common medicineplant,US15
ADLA2,,Adenostemma lavenia (L.) Kuntze,common medicineplant,US66
ADLA2,,Adenostemma lavenia (L.) Kuntze,common medicineplant,US70
ADLA2,ADVI2,Adenostemma viscosum J.R. Forst. & G. Forst.,,US70
ADLA2,ADVI2,Adenostemma viscosum J.R. Forst. & G. Forst.,,US15
ADLA2,VELA4,Verbesina lavenia L.,,US70
ADLA2,VELA4,Verbesina lavenia L.,,US15
ADLA2,VELA4,Verbesina lavenia L.,,US66
ADVE2,COVE7,Cotula verbesina L.,,US72
ADVE2,,Adenostemma verbesina (L.) Sch. Bip.,tropical medicineplant,US78
ADVE2,COVE7,Cotula verbesina L.,,US78
ADVE2,,Adenostemma verbesina (L.) Sch. Bip.,tropical medicineplant,US72
ADIAN,,Adiantum L.,maidenhair fern,US15
